;;;xRxR;xRyR;(xL)xR;(xL)yR;(yL)xR;xL(xR);yL(xR);xL(yR);(xL)(xR);(xL)(yR);(yL)(xR);xLxL;xLyL
Продолжительность жизни;L;1;10;8;10;8;8;10;8;8;10;8;8;8;8
Возраст 1-го нереста;M;2;4;3;4;3;3;4;3;3;4;3;3;4;3
Выживаемость;S;3;0.84;0.635;0.8;0.64;0.64;0.8;0.64;0.64;0.75;0.6;0.6;0.05;0.05
Возраст достижения выживаемости S;aS;4;1;1;1;1;1;1;1;1;1;1;1;1;1
Коэффициент после достижения S;kS;5;0.258;0.145;0;0;0;0;0;0;0;0;0;0;0
I-го года;S1;6;0.032;0.08;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.001;0.001
Коэффициент до достижения S;kbS;7;0;0;0;0;0;0;0;0;0;0;0;0;0
Конкурентоспособность;C;8;0.848;0.642;0.67;0.55;0.67;0.55;0.67;0.55;0.5;0.45;0.4;0.45;0.4
Возраст достижения C;aC;9;1;1;1;1;1;1;1;1;1;1;1;1;1
Коэффициент после достижения С;kC;10;0.25;0.18;0.2;0.17;0.16;0.19;0.2;0.17;0.2;0.2;0.2;0.1;0.1
I-го года;C1;11;0.14;0.125;0.13;0.13;0.15;0.13;0.15;0.1;0.1;0.1;0.1;0.1;0.1
Коэффициент до достижения С;kbC;12;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Вероятность размножения;R;13;0.9;0.7;0.7;0.7;0.9;0.8;0.9;0.9;0.7;0.9;0.9;0.7;0.8
Коэффициент;kR;14;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Плодовитость;F;15;1100;0.9;1000;0.9;0.9;1000;0.9;0.9;800;0.9;0.9;1000;0.9
Коэффициент;kF;16;0.12;0;0.1;0;0;0.1;0;0;0.1;0;0;0.1;0
Вероят.повт. амплексусов;P;17;0;0.5;0;0.6;0.6;0;0.6;0.6;0;0.6;0.6;0;0.5
Коэффициент;kP;18;0;0.4;0;0.5;0.5;0;0.5;0.5;0;0.5;0.5;0;0.3
Потребность в ресурсах;a01;19;1;1;1;1;1;1;1;1;1;1;1;1;1
Потребность в ресурсах;a02;20;4;4;4;4;4;4;4;4;4;4;4;4;4
Потребность в ресурсах;a03;21;9;9;9;9;9;9;9;9;9;9;9;9;9
Потребность в ресурсах;a04;22;17;17;17;17;17;17;17;17;17;17;17;17;17
Потребность в ресурсах;a05;23;22;22;22;22;22;22;22;22;22;22;22;22;22
Потребность в ресурсах;a06;24;25;25;25;25;25;25;25;25;25;25;25;25;25
Потребность в ресурсах;a07;25;27;27;27;27;27;27;27;27;27;27;27;27;27
Потребность в ресурсах;a08;26;28;28;28;28;28;28;28;28;28;28;28;28;28
Потребность в ресурсах;a09;27;28;28;28;28;28;28;28;28;28;28;28;28;28
Потребность в ресурсах;a10;28;28;28;28;28;28;28;28;28;28;28;28;28;28
